CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
1074	27.1
1075	26.3
1076	23.8
1077	21.9
1078	21.5
1079	20.0
1080	17.9
1081	14.7
1082	12.2
1083	10.7
1084	10.1
1085	9.6
1086	9.2
1087	8.8
1088	8.4
1089	8.3
1090	8.3
1091	8.5
1092	8.6
1093	8.5
1094	8.0
1095	6.6
1096	5.2
1097	4.6
1098	2.3
1099	1.9
1100	0.2
1101	0.0
1102	0.1
1103	1.6
1104	3.5
1105	5.3
1106	8.6
1107	12.8
1108	14.4
1109	14.7
1110	15.7
1111	18.1
1112	20.1
1113	21.1
1114	21.3
1115	21.4
1116	21.6
1117	21.8
1118	22.3
1119	22.9
1120	23.7
1121	24.4
1122	24.9
1123	25.1
1124	25.2
1125	25.3
1126	25.5
1127	25.8
1128	26.1
1129	26.4
1130	26.6
1131	26.8
1132	27.0
1133	27.0
1134	26.9
1135	26.9
1136	26.8
1137	26.8
1138	26.6
1139	26.4
1140	26.1
1141	25.8
1142	25.1
1143	23.4
1144	21.4
1145	19.4
1146	17.3
1147	16.4
1148	13.8
1149	10.7
1150	7.0
1151	3.4
1152	0.6
1153	0.0
1154	0.0
1155	0.0
1156	0.0
1157	0.0
1158	0.0
1159	0.0
1160	0.0
1161	0.0
1162	0.0
1163	0.0
1164	0.0
1165	0.0
1166	0.0
1167	0.0
1168	0.0
1169	2.5
1170	5.1
1171	8.3
1172	12.1
1173	15.6
1174	18.7
1175	20.6
1176	22.6
1177	23.0
1178	23.0
1179	22.3
1180	19.2
1181	16.1
1182	13.0
1183	9.7
1184	6.0
1185	2.4
1186	0.0
1187	0.0
1188	0.0
1189	0.0
1190	0.0
1191	0.0
1192	0.0
1193	0.0
1194	0.0
1195	0.0
1196	0.0
1197	0.0
1198	2.0
1199	4.6
1200	6.6
1201	9.7
1202	11.8
1203	12.9
1204	12.7
1205	12.4
1206	12.4
1207	12.5
1208	12.7
1209	13.6
